id,category_name,fund_id,created_at,updated_at,by,note
1,Dining,1,2024-04-15T20:05:15.363851,2024-05-25T20:05:15.363851,madison.delacruz,Recently best ok star bed money.
2,Misc,2,2025-03-25T08:48:38.738326,2025-05-14T08:48:38.738326,madison.delacruz,Subject not exactly. Several fly item.
3,Healthcare,2,2025-02-27T10:31:04.451709,2025-03-20T10:31:04.451709,madison.delacruz,Loss part life year son meeting.
4,Savings,2,2025-03-02T06:16:16.900849,2025-04-17T06:16:16.900849,madison.delacruz,Stage suddenly better up almost film.
5,Healthcare 75,3,2025-01-18T15:32:27.180122,2025-04-07T15:32:27.180122,mark.crawford,Budget professional when matter.
6,Subscriptions,3,2024-09-16T08:58:08.338175,2024-10-28T08:58:08.338175,mark.crawford,Those baby be fast choose scientist.
7,Misc 95,3,2025-03-20T21:39:02.136155,2025-04-25T21:39:02.136155,mark.crawford,Ok stock cultural ten good.
8,Groceries,4,2024-02-04T20:06:41.128517,2024-04-01T20:06:41.128517,mark.crawford,Go picture movie up by check nation.
9,Savings 73,5,2023-02-28T08:49:18.336923,2023-05-02T08:49:18.336923,edward.cardenas,Chance response upon conference.
10,Dining 95,5,2025-04-29T17:09:22.044437,2025-06-30T17:09:22.044437,edward.cardenas,Old pass air thus.
